year,age_group,sex,icd_code,hospitalizations
2019,0-4,Female,F84.0,53
2019,0-4,Female,F84.1,1
2019,0-4,Female,F84.2,6
2019,0-4,Female,F84.5,1
2019,0-4,Female,F84.8,37
2019,0-4,Female,F84.9,54
2019,0-4,Male,F84.0,204
2019,0-4,Male,F84.1,3
2019,0-4,Male,F84.3,1
2019,0-4,Male,F84.5,10
2019,0-4,Male,F84.8,67
2019,0-4,Male,F84.9,83
2019,10-14,Female,F84.0,91
2019,10-14,Female,F84.1,5
2019,10-14,Female,F84.2,23
2019,10-14,Female,F84.3,1
2019,10-14,Female,F84.5,14
2019,10-14,Female,F84.8,9
2019,10-14,Female,F84.9,12
2019,10-14,Male,F84.0,256
2019,10-14,Male,F84.1,8
2019,10-14,Male,F84.3,2
2019,10-14,Male,F84.4,2
2019,10-14,Male,F84.5,104
2019,10-14,Male,F84.8,18
2019,10-14,Male,F84.9,20
2019,15-19,Female,F84.0,35
2019,15-19,Female,F84.1,13
2019,15-19,Female,F84.2,6
2019,15-19,Female,F84.4,1
2019,15-19,Female,F84.5,10
2019,15-19,Female,F84.8,1
2019,15-19,Female,F84.9,7
2019,15-19,Male,F84.0,132
2019,15-19,Male,F84.1,15
2019,15-19,Male,F84.4,2
2019,15-19,Male,F84.5,58
2019,15-19,Male,F84.8,12
2019,15-19,Male,F84.9,11
2019,20-24,Female,F84.0,9
2019,20-24,Female,F84.1,1
2019,20-24,Female,F84.2,6
2019,20-24,Female,F84.4,1
2019,20-24,Female,F84.5,5
2019,20-24,Male,F84.0,29
2019,20-24,Male,F84.1,15
2019,20-24,Male,F84.5,39
2019,20-24,Male,F84.8,3
2019,20-24,Male,F84.9,4
2019,25-29,Female,F84.0,5
2019,25-29,Female,F84.1,3
2019,25-29,Female,F84.5,2
2019,25-29,Female,F84.8,1
2019,25-29,Male,F84.0,23
2019,25-29,Male,F84.1,6
2019,25-29,Male,F84.5,13
2019,25-29,Male,F84.8,5
2019,25-29,Male,F84.9,5
2019,30-34,Female,F84.0,5
2019,30-34,Female,F84.2,1
2019,30-34,Female,F84.5,6
2019,30-34,Female,F84.8,1
2019,30-34,Female,F84.9,1
2019,30-34,Male,F84.0,17
2019,30-34,Male,F84.1,8
2019,30-34,Male,F84.5,5
2019,30-34,Male,F84.8,2
2019,35-39,Female,F84.0,1
2019,35-39,Female,F84.1,3
2019,35-39,Male,F84.0,8
2019,35-39,Male,F84.1,4
2019,35-39,Male,F84.4,2
2019,35-39,Male,F84.5,4
2019,35-39,Male,F84.8,1
2019,35-39,Male,F84.9,1
2019,40-44,Female,F84.5,1
2019,40-44,Female,F84.9,1
2019,40-44,Male,F84.0,4
2019,40-44,Male,F84.5,1
2019,45-49,Female,F84.0,1
2019,45-49,Female,F84.5,1
2019,45-49,Female,F84.8,1
2019,45-49,Male,F84.0,2
2019,45-49,Male,F84.1,1
2019,5-9,Female,F84.0,99
2019,5-9,Female,F84.1,2
2019,5-9,Female,F84.2,10
2019,5-9,Female,F84.5,25
2019,5-9,Female,F84.8,10
2019,5-9,Female,F84.9,14
2019,5-9,Male,F84.0,416
2019,5-9,Male,F84.1,10
2019,5-9,Male,F84.2,2
2019,5-9,Male,F84.3,1
2019,5-9,Male,F84.4,1
2019,5-9,Male,F84.5,105
2019,5-9,Male,F84.8,21
2019,5-9,Male,F84.9,43
2019,50-54,Female,F84.0,1
2019,50-54,Female,F84.5,1
2019,50-54,Male,F84.0,1
2019,50-54,Male,F84.1,1
2019,50-54,Male,F84.5,1
2019,55-59,Female,F84.0,3
2019,55-59,Female,F84.1,1
